participation,dataset,source_metric,target_metric,target_value,was_selected
63,movies,CF-ILD,cf_ild,0.5615974494389125,0
63,movies,CF-ILD,cb_ild,0.43042291913713726,0
63,movies,CF-ILD,ease_ild,0.9776769365583148,0
63,movies,CF-ILD,genres,0.7240689822605678,0
63,movies,CF-ILD,tags,0.31877449580601286,0
63,movies,CF-ILD,bin_div,0.38503095596348985,0
63,movies,CF-ILD,relevance,0.16275614500045776,0
63,movies,CF-ILD,relevance_normed,0.9994398355484009,0
63,movies,CB-ILD,cf_ild,0.5045854023524693,0
63,movies,CB-ILD,cb_ild,0.5469276564461845,0
63,movies,CB-ILD,ease_ild,0.9776984623500279,0
63,movies,CB-ILD,genres,0.6910361562456403,0
63,movies,CB-ILD,tags,0.4114710944039481,0
63,movies,CB-ILD,bin_div,0.31517141165891494,0
63,movies,CB-ILD,relevance,0.1469956338405609,0
63,movies,CB-ILD,relevance_normed,0.9991933107376099,0
63,movies,BIN-DIV,cf_ild,0.5586426939283099,1
63,movies,BIN-DIV,cb_ild,0.46532767159598215,1
63,movies,BIN-DIV,ease_ild,0.9864375250680106,1
63,movies,BIN-DIV,genres,0.8386331285749163,1
63,movies,BIN-DIV,tags,0.43399177278791157,1
63,movies,BIN-DIV,bin_div,0.7763617824616624,1
63,movies,BIN-DIV,relevance,0.12262222915887833,1
63,movies,BIN-DIV,relevance_normed,0.999047040939331,1
61,movies,CF-ILD,cf_ild,0.6474834169660296,1
61,movies,CF-ILD,cb_ild,0.4687729903629848,1
61,movies,CF-ILD,ease_ild,0.996344975062779,1
61,movies,CF-ILD,genres,0.7448451859610421,1
61,movies,CF-ILD,tags,0.06120555315698896,1
61,movies,CF-ILD,bin_div,0.37237942089196896,1
61,movies,CF-ILD,relevance,1.7906008958816528,1
61,movies,CF-ILD,relevance_normed,0.9993924498558044,1
61,movies,CB-ILD,cf_ild,0.5258944715772357,0
61,movies,CB-ILD,cb_ild,0.6117320741925921,0
61,movies,CB-ILD,ease_ild,0.9609943798610142,0
61,movies,CB-ILD,genres,0.7032175064086914,0
61,movies,CB-ILD,tags,0.17306293760027205,0
61,movies,CB-ILD,bin_div,0.45515788139936575,0
61,movies,CB-ILD,relevance,1.727604627609253,0
61,movies,CB-ILD,relevance_normed,0.9992841482162476,0
61,movies,BIN-DIV,cf_ild,0.4940240042550223,0
61,movies,BIN-DIV,cb_ild,0.5065254483904157,0
61,movies,BIN-DIV,ease_ild,0.968571662902832,0
61,movies,BIN-DIV,genres,0.7890592302594867,0
61,movies,BIN-DIV,tags,0.2908848353794643,0
61,movies,BIN-DIV,bin_div,0.6858832997957007,0
61,movies,BIN-DIV,relevance,1.822096347808838,0
61,movies,BIN-DIV,relevance_normed,0.9993743896484375,0
62,movies,CF-ILD,cf_ild,0.5739908218383789,0
62,movies,CF-ILD,cb_ild,0.5213931969233921,0
62,movies,CF-ILD,ease_ild,0.9695128713335309,0
62,movies,CF-ILD,genres,0.7558524268014091,0
62,movies,CF-ILD,tags,0.26436732496534077,0
62,movies,CF-ILD,bin_div,0.576945460290849,0
62,movies,CF-ILD,relevance,0.20534902811050415,0
62,movies,CF-ILD,relevance_normed,0.9994940757751465,0
62,movies,CB-ILD,cf_ild,0.5330003670283726,0
62,movies,CB-ILD,cb_ild,0.5753258977617536,0
62,movies,CB-ILD,ease_ild,0.9601546696254185,0
62,movies,CB-ILD,genres,0.6855251448495048,0
62,movies,CB-ILD,tags,0.37887447220938547,0
