participation,cf_ild,cb_ild,ease_ild,genres,tags,bin_div,relevance,relevance_normed,alphas,approx_alphas,gold,selected,selected_metric,compare_alphas_metric,matches,dataset,kendalltau,kendalltau_gold_cf_ild,kendalltau_selected_cf_ild,kendalltau_gold_cb_ild,kendalltau_selected_cb_ild,kendalltau_gold_ease_ild,kendalltau_selected_ease_ild,kendalltau_gold_genres,kendalltau_selected_genres,kendalltau_gold_tags,kendalltau_selected_tags,kendalltau_gold_bin_div,kendalltau_selected_bin_div,kendalltau_gold_relevance,kendalltau_selected_relevance,kendalltau_gold_relevance_normed,kendalltau_selected_relevance_normed,disparity
2,"[0.9005249568394252, 0.5593374116080148, 0.6160405703953334, 0.617272172655378, 0.6611020224434989, 0.5593374116080148]","[0.5333469935825893, 0.47778585978916716, 0.521348408290318, 0.5189606462206159, 0.5808979443141392, 0.47778585978916716]","[0.9929238728114537, 0.9630528177533831, 0.978616578238351, 0.9900101252964565, 0.995788710457938, 0.9630528858729771]","[0.8749863760811942, 0.693554128919329, 0.8154683794294085, 0.819591930934361, 0.8497977256774902, 0.693554128919329]","[0.16381810392652238, 0.06549242564610072, 0.19875713757106236, 0.11965043204171318, 0.2133455617087228, 0.06549242564610072]","[0.9519890399949779, 0.2789891281734214, 0.7904318871968671, 0.7224099939018442, 0.8707788147152401, 0.2789891281734214]","[0.033818133, 0.26475218, 0.16516823, 0.19093426, 0.13588804, 0.26475218]","[0.78323984, 0.9993846, 0.99883145, 0.99915016, 0.9980557, 0.9993845]","[0.99, 0.0, 0.25, 0.1, 0.5, 0.01]","[0.9, 0.07, 0.49, 0.28, 0.57, 0.03]","[1, 2, 0, 2, 0, 1]","[1, 2, 0, 2, 0, 1]",BIN-DIV,BIN-DIV,True,movies,1.0,0.15,0.15,0.45,0.45,0.6,0.6,0.15,0.15,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.11
2,"[0.9005249568394252, 0.5593374116080148, 0.6160405703953334, 0.617272172655378, 0.6611020224434989, 0.5593374116080148]","[0.5333469935825893, 0.47778585978916716, 0.521348408290318, 0.5189606462206159, 0.5808979443141392, 0.47778585978916716]","[0.9929238728114537, 0.9630528177533831, 0.978616578238351, 0.9900101252964565, 0.995788710457938, 0.9630528858729771]","[0.8749863760811942, 0.693554128919329, 0.8154683794294085, 0.819591930934361, 0.8497977256774902, 0.693554128919329]","[0.16381810392652238, 0.06549242564610072, 0.19875713757106236, 0.11965043204171318, 0.2133455617087228, 0.06549242564610072]","[0.9519890399949779, 0.2789891281734214, 0.7904318871968671, 0.7224099939018442, 0.8707788147152401, 0.2789891281734214]","[0.033818133, 0.26475218, 0.16516823, 0.19093426, 0.13588804, 0.26475218]","[0.78323984, 0.9993846, 0.99883145, 0.99915016, 0.9980557, 0.9993845]","[0.99, 0.0, 0.25, 0.1, 0.5, 0.01]","[0.9, 0.07, 0.49, 0.28, 0.57, 0.03]","[1, 2, 0, 2, 0, 1]","[1, 2, 0, 2, 0, 1]",BIN-DIV,BIN-DIV,True,movies,1.0,0.15,0.15,0.45,0.45,0.6,0.6,0.15,0.15,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.11
3,"[0.42353943416050505, 0.4630210740225656, 0.3649637358529227, 0.6817888532366071, 0.3558628899710519, 0.942725658416748]","[0.5821754591805595, 0.6148192541939872, 0.44351393835885183, 0.7038362366812569, 0.39932724407741, 0.7477570942470005]","[0.9557459013802665, 0.9581935065133231, 0.9460156304495675, 0.9844316755022321, 0.9513228280203683, 1.0082365444728307]","[0.7537077495029995, 0.7304214750017438, 0.5339686529976981, 0.6927950722830636, 0.4972264766693115, 0.7882611410958427]","[0.3826885563986642, 0.2836336578641619, 0.47984439986092703, 0.20316508838108607, 0.44610224451337543, 0.0732285465512957]","[0.36442518499667964, 0.37586111835460634, 0.07122811114360364, 0.5431598574596765, 0.034259901441561026, 0.42965163514933635]","[0.20015249, 0.16063643, 0.33878845, 0.10294813, 0.34507126, 0.065493256]","[0.9988293, 0.9983125, 0.99959004, 0.9783637, 0.99960923, 0.6861683]","[0.1, 0.25, 0.01, 0.9, 0.0, 0.99]","[0.49, 0.94, 0.04, 0.41, 0.04, 0.94]","[2, 0, 1, 1, 0, 2]","[2, 0, 1, 1, 0, 2]",CB-ILD,CB-ILD,True,movies,1.0,0.3,0.3,0.3,0.3,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.87
3,"[0.42353943416050505, 0.4630210740225656, 0.3649637358529227, 0.6817888532366071, 0.3558628899710519, 0.942725658416748]","[0.5821754591805595, 0.6148192541939872, 0.44351393835885183, 0.7038362366812569, 0.39932724407741, 0.7477570942470005]","[0.9557459013802665, 0.9581935065133231, 0.9460156304495675, 0.9844316755022321, 0.9513228280203683, 1.0082365444728307]","[0.7537077495029995, 0.7304214750017438, 0.5339686529976981, 0.6927950722830636, 0.4972264766693115, 0.7882611410958427]","[0.3826885563986642, 0.2836336578641619, 0.47984439986092703, 0.20316508838108607, 0.44610224451337543, 0.0732285465512957]","[0.36442518499667964, 0.37586111835460634, 0.07122811114360364, 0.5431598574596765, 0.034259901441561026, 0.42965163514933635]","[0.20015249, 0.16063643, 0.33878845, 0.10294813, 0.34507126, 0.065493256]","[0.9988293, 0.9983125, 0.99959004, 0.9783637, 0.99960923, 0.6861683]","[0.1, 0.25, 0.01, 0.9, 0.0, 0.99]","[0.49, 0.94, 0.04, 0.41, 0.04, 0.94]","[2, 0, 1, 1, 0, 2]","[2, 0, 1, 1, 0, 2]",CB-ILD,CB-ILD,True,movies,1.0,0.3,0.3,0.3,0.3,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.87
4,"[0.5338812555585589, 0.5184424945286342, 0.7172919000898089, 0.6052452496119908, 0.9199645859854562, 0.5184424945286342]","[0.6394428525652204, 0.4911764349256243, 0.6904311861310687, 0.6572904586791992, 0.762293815612793, 0.49117646898542133]","[0.9717340469360352, 0.963388170514788, 0.9838321549551827, 0.9876087733677456, 0.9977297101702008, 0.9633882386343819]","[0.5608326026371547, 0.6102564675467355, 0.6368180683680943, 0.5301296370370048, 0.7842170170375279, 0.6102564675467355]","[0.43893987791878836, 0.1915417058127267, 0.5350285257611956, 0.4347085952758789, 0.0, 0.1915417058127267]","[0.19686802646986815, 0.36486703593279346, 0.25597492833017677, 0.13298672937247313, 0.4270812252481169, 0.36486703593279346]","[0.62479967, 0.688321, 0.4673565, 0.5920633, 0.17664787, 0.688321]","[0.9991217, 0.9993289, 0.99657047, 0.998973, 0.6246124, 0.99932885]","[0.1, 0.0, 0.9, 0.25, 0.99, 0.01]","[0.69, 0.36, 0.53, 0.65, 0.32, 0.49]","[1, 0, 2, 2, 0, 1]","[1, 2, 0, 1, 2, 0]",CB-ILD,CB-ILD,True,movies,-0.67,-0.45,0.3,-0.45,0.3,-0.6,0.45,0.45,-0.3,0.75,-0.6,-0.3,-0.15,0.0,-0.45,-0.45,0.3,1.45
4,"[0.5338812555585589, 0.5184424945286342, 0.7172919000898089, 0.6052452496119908, 0.9199645859854562, 0.5184424945286342]","[0.6394428525652204, 0.4911764349256243, 0.6904311861310687, 0.6572904586791992, 0.762293815612793, 0.49117646898542133]","[0.9717340469360352, 0.963388170514788, 0.9838321549551827, 0.9876087733677456, 0.9977297101702008, 0.9633882386343819]","[0.5608326026371547, 0.6102564675467355, 0.6368180683680943, 0.5301296370370048, 0.7842170170375279, 0.6102564675467355]","[0.43893987791878836, 0.1915417058127267, 0.5350285257611956, 0.4347085952758789, 0.0, 0.1915417058127267]","[0.19686802646986815, 0.36486703593279346, 0.25597492833017677, 0.13298672937247313, 0.4270812252481169, 0.36486703593279346]","[0.62479967, 0.688321, 0.4673565, 0.5920633, 0.17664787, 0.688321]","[0.9991217, 0.9993289, 0.99657047, 0.998973, 0.6246124, 0.99932885]","[0.1, 0.0, 0.9, 0.25, 0.99, 0.01]","[0.69, 0.36, 0.53, 0.65, 0.32, 0.49]","[1, 0, 2, 2, 0, 1]","[1, 2, 0, 1, 2, 0]",CB-ILD,CB-ILD,True,movies,-0.67,-0.45,0.3,-0.45,0.3,-0.6,0.45,0.45,-0.3,0.75,-0.6,-0.3,-0.15,0.0,-0.45,-0.45,0.3,1.45
5,"[0.5312888281685966, 0.6876414162772042, 0.6570754732404437, 0.6179516656058175, 0.9052196230207171, 0.9130303519112724]","[0.48272487095424105, 0.463005576814924, 0.5214379855564663, 0.489114659173148, 0.5162867137363979, 0.649043355669294]","[0.9566928318568638, 0.9961408206394741, 1.0191912651062012, 1.0072475160871233, 0.9940296581813267, 1.010489055088588]","[0.5936884198869977, 0.8951605388096401, 0.8652793339320591, 0.8601975440979004, 0.908005782536098, 0.7053571428571429]","[0.1456419059208461, 0.33878319604056223, 0.34598500388009207, 0.36616012028285433, 0.2571136610848563, 0.38832575934273855]","[0.3757448713475781, 0.9319044960545707, 0.8774884966339241, 0.8526269481100307, 0.9492872652460702, 0.9692559033853052]","[1.7864106, 0.8462923, 1.1692147, 1.4516569, 0.36568922, 0.26634958]","[0.9994898, 0.99495363, 0.99793077, 0.9990759, 0.7910193, 0.7041232]","[0.0, 0.9, 0.75, 0.25, 0.99, 1.0]","[0.41, 0.11, 0.87, 0.87, 0.26, 0.56]","[0, 2, 1, 0, 1, 2]","[1, 0, 2, 1, 2, 0]",BIN-DIV,BIN-DIV,True,movies,-0.33,0.75,-0.15,0.0,0.0,0.3,0.0,0.75,-0.45,0.75,-0.45,0.75,-0.15,-0.3,0.0,-0.3,0.0,1.92
5,"[0.5312888281685966, 0.6876414162772042, 0.6570754732404437, 0.6179516656058175, 0.9052196230207171, 0.9130303519112724]","[0.48272487095424105, 0.463005576814924, 0.5214379855564663, 0.489114659173148, 0.5162867137363979, 0.649043355669294]","[0.9566928318568638, 0.9961408206394741, 1.0191912651062012, 1.0072475160871233, 0.9940296581813267, 1.010489055088588]","[0.5936884198869977, 0.8951605388096401, 0.8652793339320591, 0.8601975440979004, 0.908005782536098, 0.7053571428571429]","[0.1456419059208461, 0.33878319604056223, 0.34598500388009207, 0.36616012028285433, 0.2571136610848563, 0.38832575934273855]","[0.3757448713475781, 0.9319044960545707, 0.8774884966339241, 0.8526269481100307, 0.9492872652460702, 0.9692559033853052]","[1.7864106, 0.8462923, 1.1692147, 1.4516569, 0.36568922, 0.26634958]","[0.9994898, 0.99495363, 0.99793077, 0.9990759, 0.7910193, 0.7041232]","[0.0, 0.9, 0.75, 0.25, 0.99, 1.0]","[0.41, 0.11, 0.87, 0.87, 0.26, 0.56]","[0, 2, 1, 0, 1, 2]","[1, 0, 2, 1, 2, 0]",BIN-DIV,BIN-DIV,True,movies,-0.33,0.75,-0.15,0.0,0.0,0.3,0.0,0.75,-0.45,0.75,-0.45,0.75,-0.15,-0.3,0.0,-0.3,0.0,1.92
6,"[0.4138225146702358, 0.5319121905735561, 0.9530502728053502, 0.605604989188058, 0.5346351351056781, 0.4904987471444266]","[0.4150965554373605, 0.589961051940918, 0.7290019989013672, 0.6418206351143974, 0.6007123674665179, 0.5836931637355259]","[0.953373636518206, 0.9723092487880162, 0.9973287582397461, 0.9743861470903669, 0.9673240525381905, 0.9702004705156598]","[0.5710374968392509, 0.7094568525041852, 0.8344481331961495, 0.7748049327305385, 0.773876462663923, 0.7163375445774623]","[0.5210563795907157, 0.42771475655691965, 0.020579504115240916, 0.4704822131565639, 0.635765552520752, 0.39815051215035574]","[0.1417829658285265, 0.3647730572330185, 0.4831906108537197, 0.398571567485184, 0.48036297147762774, 0.2965953915052435]","[0.40018374, 0.28905144, 0.07792861, 0.19765146, 0.25005767, 0.29817015]","[0.99957776, 0.99910057, 0.6350155, 0.99647176, 0.99868965, 0.9991904]","[0.01, 0.25, 1.0, 0.75, 0.5, 0.1]","[0.05, 0.28, 0.62, 0.8, 0.97, 0.22]","[0, 1, 2, 2, 1, 0]","[0, 1, 2, 2, 0, 1]",CB-ILD,CB-ILD,True,movies,0.67,0.3,0.15,0.3,0.15,0.45,0.3,0.75,0.6,-0.15,0.15,0.15,0.0,0.3,-0.15,0.3,-0.15,0.38
6,"[0.4138225146702358, 0.5319121905735561, 0.9530502728053502, 0.605604989188058, 0.5346351351056781, 0.4904987471444266]","[0.4150965554373605, 0.589961051940918, 0.7290019989013672, 0.6418206351143974, 0.6007123674665179, 0.5836931637355259]","[0.953373636518206, 0.9723092487880162, 0.9973287582397461, 0.9743861470903669, 0.9673240525381905, 0.9702004705156598]","[0.5710374968392509, 0.7094568525041852, 0.8344481331961495, 0.7748049327305385, 0.773876462663923, 0.7163375445774623]","[0.5210563795907157, 0.42771475655691965, 0.020579504115240916, 0.4704822131565639, 0.635765552520752, 0.39815051215035574]","[0.1417829658285265, 0.3647730572330185, 0.4831906108537197, 0.398571567485184, 0.48036297147762774, 0.2965953915052435]","[0.40018374, 0.28905144, 0.07792861, 0.19765146, 0.25005767, 0.29817015]","[0.99957776, 0.99910057, 0.6350155, 0.99647176, 0.99868965, 0.9991904]","[0.01, 0.25, 1.0, 0.75, 0.5, 0.1]","[0.05, 0.28, 0.62, 0.8, 0.97, 0.22]","[0, 1, 2, 2, 1, 0]","[0, 1, 2, 2, 0, 1]",CB-ILD,CB-ILD,True,movies,0.67,0.3,0.15,0.3,0.15,0.45,0.3,0.75,0.6,-0.15,0.15,0.15,0.0,0.3,-0.15,0.3,-0.15,0.38
