diversification_metric,alpha,cf_ild,cb_ild,ease_ild,genres,tags,bin_div,relevance,relevance_normed,participation,iteration,dataset
BIN-DIV,0.9,0.6096736363002232,0.5423788683755058,0.9826029368809291,0.8868280138288226,0.3273656027657645,0.9172402315771376,0.08703813,0.99752253,63,0,movies
BIN-DIV,0.0,0.4549245153154646,0.4295901911599295,0.941760608128139,0.6691162926810128,0.2762046030589512,0.31554257018299486,0.1727044,0.9995084,63,0,movies
BIN-DIV,0.01,0.4549245153154646,0.4295901911599295,0.941760608128139,0.6691163608006069,0.2762046030589512,0.31554257018299486,0.17270441,0.9995084,63,0,movies
CF-ILD,0.75,0.9935286385672433,0.5263647351946149,1.000923020499093,0.8439060619899205,0.0,0.798428903537974,0.40976274,0.84726214,61,0,movies
CF-ILD,0.99,0.9954049927847726,0.4501391819545201,0.9961761747087751,0.6777063097272601,0.0,0.5135166328159257,0.31086653,0.5772176,61,0,movies
CF-ILD,0.01,0.4859387193407331,0.5265064239501953,0.9792233875819615,0.7615940911429269,0.28869434765407015,0.45423549036595356,1.8863723,0.99947715,61,0,movies
BIN-DIV,0.5,0.5940611021859306,0.5133367265973773,0.986133302961077,0.807262625013079,0.44975362505231586,0.8745677109619542,0.08601216,0.99819803,63,1,movies
BIN-DIV,0.25,0.5516173158373151,0.48402520588466097,0.9776759828839984,0.7849408558436802,0.40107979093279156,0.7656373390321717,0.114113346,0.998905,63,1,movies
BIN-DIV,0.99,0.924095698765346,0.6201136452811105,1.0035031182425362,0.9175686155046735,0.1623034988130842,0.9606286513992427,0.017436493,0.6593102,63,1,movies
CF-ILD,0.1,0.6474834169660296,0.4687729903629848,0.996344975062779,0.7448451859610421,0.06120555315698896,0.37237942089196896,1.7906009,0.99939245,61,1,movies
CF-ILD,0.25,0.7595150811331612,0.4814401354108538,0.9908037185668945,0.8325474602835519,0.07856770924159459,0.5661899366656736,1.4691346,0.99876916,61,1,movies
CF-ILD,0.5,0.9375314031328473,0.519916330065046,0.992370741707938,0.737825734274728,0.08386038030896868,0.3977602336115199,0.8617408,0.96015644,61,1,movies
BIN-DIV,0.5,0.5275541714259556,0.5081672327859061,0.969778333391462,0.8873320988246373,0.30540548052106586,0.9002049967457214,0.14965478,0.9984418,62,0,movies
BIN-DIV,0.0,0.4154324872153146,0.4668224879673549,0.889563969203404,0.7323344094412667,0.3244860512869699,0.37472790934296113,0.21502048,0.99958587,62,0,movies
BIN-DIV,0.25,0.46657064982822966,0.4725766863141741,0.9539879390171596,0.7777759007045201,0.2239616768700736,0.8036227965048488,0.17051436,0.99910337,62,0,movies
BIN-DIV,0.9,0.6504042489188058,0.5366097858973912,0.9910340309143066,0.8912998608180455,0.3005834306989397,0.9315522319445585,0.09189896,0.9956325,62,1,movies
BIN-DIV,1.0,0.8794281823294503,0.5910915647234235,1.004072598048619,0.9237898417881557,0.3801959582737514,0.9680114147481105,0.034931153,0.7558498,62,1,movies
BIN-DIV,0.1,0.49064687320164274,0.4613199234008789,0.9340645926339286,0.7837950842721122,0.22505109650748117,0.7950066594983417,0.17975044,0.9992053,62,1,movies
CB-ILD,0.75,0.645481790815081,0.6640222413199288,0.9958463396344867,0.7430112021309989,0.4320000239780971,0.49330699050444576,0.12832958,0.9961377,64,0,movies
CB-ILD,0.9,0.6577472686767578,0.6872805186680385,0.9902048110961914,0.697547367640904,0.45526742935180664,0.47240491767421927,0.12312294,0.99462485,64,0,movies
CB-ILD,0.99,0.9173101697649274,0.7615093503679548,0.997227396283831,0.8646960258483887,0.13284567424229213,0.6032098154108383,0.067417994,0.6590142,64,0,movies
CB-ILD,0.25,0.6682306017194476,0.6292446681431362,0.9986621311732701,0.6390276636396136,0.44285515376499723,0.3937516859338805,0.16810483,0.9987421,64,1,movies
CB-ILD,0.01,0.628265517098563,0.5211895533970424,0.9828134264264788,0.7669778551374163,0.31957803453717915,0.6272778037821939,0.24795844,0.99955416,64,1,movies
CB-ILD,0.5,0.6507878984723773,0.6432388169424874,0.9969602312360492,0.6813889231000628,0.42050157274518696,0.4760895244114297,0.15182433,0.99803925,64,1,movies
BIN-DIV,0.1,0.4341703142438616,0.49116342408316477,0.9301038469587054,0.7946154730660575,0.3243195669991629,0.8027301441060504,0.2329048,0.9993146,67,0,movies
BIN-DIV,0.99,0.8353843688964844,0.6306414604187012,0.9879275730678013,0.6689063480922154,0.22265735694340297,0.9590692918517122,0.054294452,0.76343644,67,0,movies
BIN-DIV,0.5,0.45543302808489117,0.4759605271475656,0.9464231218610492,0.8133469990321568,0.24093478066580637,0.8619736697635509,0.14388908,0.9982315,67,0,movies
BIN-DIV,0.01,0.394859858921596,0.5597829137529645,0.932018688746861,0.6871871267046247,0.3235227380480085,0.3803392477362236,0.27959114,0.99948764,67,1,movies
BIN-DIV,0.0,0.394859892981393,0.5597829137529645,0.932018688746861,0.6871871267046247,0.3235227380480085,0.3803392477362236,0.27959114,0.99948764,67,1,movies
BIN-DIV,0.9,0.6495129721505302,0.5134507587977818,0.9887925556727818,0.8778010777064732,0.44778564998081755,0.9186773280613046,0.09916191,0.9942347,67,1,movies
BIN-DIV,0.25,0.6516122817993164,0.5076312678200858,0.9729952130998883,0.7647853578839984,0.3446863719395229,0.7670856065557876,1.0217555,0.99913085,65,0,movies
BIN-DIV,0.99,0.9102930341448102,0.6379331861223493,0.9962914330618722,0.9602723802839007,0.07128010477338519,0.9694451055354854,0.22189255,0.8205261,65,0,movies
BIN-DIV,0.75,0.7089305605207171,0.4675393785749163,0.9816489900861468,0.8654368945530483,0.34807194982256207,0.8887879605568755,0.7903355,0.99773717,65,0,movies
BIN-DIV,1.0,0.9005622863769531,0.5417201178414481,1.0071797370910645,0.9602723802839007,0.1549218041556222,0.9801371373162409,0.2050604,0.7342086,65,1,movies
BIN-DIV,0.9,0.6729100772312709,0.4815331867762974,0.9937758445739746,0.8897458485194615,0.4839649200439453,0.9025078418386467,0.5481727,0.9901143,65,1,movies
BIN-DIV,0.5,0.7323905399867466,0.4909352575029646,0.9747066497802734,0.8617386136736188,0.34270940508161274,0.876526580363052,0.81369543,0.99819934,65,1,movies
CB-ILD,0.5,0.7116020747593471,0.6813415118626186,0.9930268015180316,0.6755172184535435,0.021023084010396684,0.4762123818352716,0.5041915,0.9985993,66,0,movies
CB-ILD,1.0,0.9228177751813617,0.7816065379551479,1.0011981555393763,0.8170437812805176,0.028065564376967295,0.4058729256704356,0.21885876,0.64226246,66,0,movies
CB-ILD,0.75,0.6951401574271066,0.7100152969360352,0.9934235981532505,0.6913604736328125,0.07198849746159144,0.47831521512790465,0.44930315,0.9974979,66,0,movies
CB-ILD,0.25,0.7120436259678432,0.6421036720275879,0.9940253666469029,0.7122880390712193,0.024377150194985524,0.40476857694434015,0.5554758,0.9991267,66,1,movies
CB-ILD,0.01,0.6070991924830845,0.5135411194392613,0.9882144927978516,0.7341818128313337,0.060022162539618354,0.4079959188706083,0.6372126,0.999387,66,1,movies
CB-ILD,0.1,0.6346465519496373,0.6166675431387765,0.9926866803850446,0.7333556583949498,0.01713200339249202,0.5052237299676984,0.60864025,0.99932104,66,1,movies
CB-ILD,0.5,0.6545491218566895,0.6595604079110282,0.9789675303867885,0.7051033292497907,0.46924352645874023,0.2719190643457604,1.3251414,0.99838746,69,0,movies
CB-ILD,1.0,0.8994884490966797,0.7367184502737862,1.0084402220589774,0.7979935918535505,0.13298543010439193,0.2400976121796813,0.4325317,0.6462512,69,0,movies
CB-ILD,0.9,0.7754943711417062,0.7078651019505092,0.9877454212733677,0.7378217152186802,0.3456086090632847,0.2627921651019979,0.93451065,0.9762252,69,0,movies
CB-ILD,0.1,0.6028660365513393,0.6184490067618233,1.0011168888636999,0.7167471476963588,0.43221637180873324,0.3770029725403343,1.4873691,0.9991603,69,1,movies
CB-ILD,0.75,0.6840880257742745,0.665597643171038,0.9838002068655831,0.6695831843784877,0.4831303868974958,0.21352511016164857,1.2508533,0.99756205,69,1,movies
CB-ILD,0.25,0.5776176452636719,0.6371462685721261,0.987384523664202,0.7155218124389648,0.4299951621464321,0.3286181883810549,1.4200702,0.9990053,69,1,movies
BIN-DIV,0.99,0.8959689821515765,0.5978879928588867,1.0020723342895508,0.9602723802839007,0.2742156982421875,0.9830939720204751,0.37081426,0.7698061,72,0,movies
BIN-DIV,0.75,0.7053864342825753,0.5016476086207798,0.996971675327846,0.8841720308576312,0.23050292900630406,0.9054956761891626,1.3464406,0.9977436,72,0,movies
BIN-DIV,0.25,0.5760181971958706,0.5141806261880058,0.982532433101109,0.792109557560512,0.33780029841831755,0.8137648844255029,1.8332467,0.99937975,72,0,movies
BIN-DIV,0.0,0.5317764282226562,0.46653720310756136,0.9726518903459821,0.7385576793125698,0.19064060279301234,0.512252524609651,2.0211525,0.9996163,72,1,movies
BIN-DIV,0.1,0.5374339989253453,0.5086452279772077,0.9747644151960101,0.7841422217232841,0.3136170932224819,0.8200603337627304,1.9059036,0.9994588,72,1,movies
BIN-DIV,0.01,0.5317763941628593,0.46653720310756136,0.9726518903459821,0.7385576793125698,0.19064060279301234,0.512252524609651,2.0211525,0.9996163,72,1,movies
CF-ILD,0.0,0.5750791004725865,0.5026565960475377,0.9900190489632743,0.7222570691789899,0.42019026620047434,0.34489980395023023,0.59388316,0.99978906,73,0,movies
CF-ILD,0.1,0.6604832921709333,0.5169871194022042,0.9947105816432408,0.7433208738054548,0.31978607177734375,0.44525172666778434,0.5441416,0.99955827,73,0,movies
CF-ILD,0.9,0.9930267333984375,0.5505716460091727,0.9977615220206124,0.8534573146275112,0.0,0.530782556169749,0.08309212,0.7414868,73,0,movies
CB-ILD,0.5,0.6102180480957031,0.6878554480416434,0.9832335199628558,0.6980222974504743,0.4576734815325056,0.49380538326508605,0.3375174,0.997682,71,0,movies
CB-ILD,0.25,0.5392496926443917,0.646531241280692,0.9829582486833844,0.625194617680141,0.2616584982190813,0.31320504910230695,0.38876277,0.9987015,71,0,movies
CB-ILD,1.0,0.9517056601388114,0.7892226491655622,1.001986299242292,0.853367669241769,0.06369327647345406,0.4832373141350894,0.07672358,0.5393585,71,0,movies
CF-ILD,0.75,0.9924802098955426,0.5514800889151437,0.9919026238577706,0.8274436678205218,0.0,0.6554165917944994,0.08484029,0.7831771,73,1,movies
