participation,dataset,elicitation_selections
63,movies,"[5548, 9516, 3043, 2254, 9248]"
61,movies,"[491, 15111, 2227, 4506, 8647, 1, 14380, 10202, 5853, 7419, 2763, 6452, 9955, 2973, 7538, 4128, 7651, 4882, 3701, 10206, 2433, 7395, 8906, 14139, 10186, 2110, 2472, 3587, 5058, 14608, 9647, 13673, 15175, 12409]"
62,movies,"[1022, 293, 9267, 15137, 6387, 3738, 587, 765, 15220]"
64,movies,"[12439, 8907, 6179, 2250, 2983]"
67,movies,"[245, 4691, 3198, 9494, 2093, 6247, 6387, 1681, 13685]"
65,movies,"[3942, 2433, 6436, 3367, 3825, 2486, 12794, 15543, 8135, 13063, 7783, 9168, 14273, 10196]"
66,movies,"[12032, 6387, 755, 1209, 9706, 6866, 0, 15196, 3180, 7919]"
69,movies,"[507, 5916, 2973, 7996, 300, 14830, 10906, 4682, 5524, 8261, 5454]"
72,movies,"[5155, 9676, 118, 771, 1723, 4670, 8737, 15477, 7376]"
71,movies,"[2243, 6707, 3576, 300, 7787, 1816, 9647, 10487, 2198, 3738]"
73,movies,"[13794, 7058, 14599, 1978, 6356, 13176, 5086, 4117, 2653, 2110]"
74,movies,"[8907, 5098, 12259, 4128, 13382]"
80,movies,"[10187, 3788, 5707, 696, 5945, 1435, 1240, 13176]"
79,movies,"[5707, 2433, 7099, 2790, 13758]"
82,movies,"[2066, 3948, 5668, 743, 1348, 9907, 3605, 1210, 8042, 8864, 2839, 1310, 10906, 2342, 1365, 8417, 7962, 9719]"
81,movies,"[492, 1721, 4015, 4691, 1629, 2796, 2987, 916, 7103, 1442, 7538, 1386, 1242, 5937, 7022, 3416, 1816, 258, 8543, 9444, 2984]"
85,movies,"[2486, 1209, 467, 3470, 3695, 13051, 3604, 9811, 11212, 29, 7022, 5151, 6892, 2179, 2973]"
88,movies,"[8898, 7538, 6556, 1182, 1723]"
87,movies,"[3605, 3825, 8864, 9989, 13740, 4015, 8569, 2433, 8844, 7386, 6417, 1046]"
89,movies,"[10846, 7193, 2433, 9989, 9267]"
90,movies,"[2837, 1816, 6728, 1049, 3693, 10209]"
91,movies,"[9057, 1365, 2790, 5826, 245, 5881, 446, 6791, 2198, 1532, 8647, 2973, 293, 3948, 1022, 2110, 1630, 5230, 6636, 258, 9493, 495, 9811, 8390, 3222, 3788]"
93,movies,"[5180, 6942, 13022, 10034, 587, 10270, 10189]"
94,movies,"[3948, 0, 9444, 7850, 4009, 5166, 2973, 6704, 2911, 3416, 7651]"
95,movies,"[1568, 11845, 8781, 7543, 8740, 9248, 7580, 3250, 1414, 4647, 5289, 8254, 3257, 4086, 9267, 12401, 14244, 2837, 3198, 4052, 6007, 8717, 1207, 1374, 743, 1186, 6417, 8301, 7784, 3756, 2861, 2400, 3708]"
96,movies,"[300, 7478, 6824, 929, 14661]"
98,movies,"[11261, 4662, 805, 1592, 3013, 4920, 4145]"
99,movies,"[9057, 13279, 4768, 9676, 7349, 5561, 1425, 15402, 300]"
102,movies,"[7632, 302, 8982, 11070, 2037, 300, 8060, 9459, 7651, 1218, 6153, 8086, 14395, 14644, 4016, 7800, 10199, 6452, 8095, 9207, 6729, 7039, 9402, 8673, 7783, 9038, 9816, 10921, 13698]"
