participation,dataset,selected_metric,compare_alphas_metric,BIN-DIV,CF-ILD,CB-ILD
63,movies,BIN-DIV,BIN-DIV,1,0,0
61,movies,CF-ILD,CF-ILD,0,1,0
62,movies,BIN-DIV,BIN-DIV,1,0,0
64,movies,CB-ILD,CB-ILD,0,0,1
67,movies,BIN-DIV,BIN-DIV,1,0,0
65,movies,BIN-DIV,BIN-DIV,1,0,0
66,movies,CB-ILD,CB-ILD,0,0,1
69,movies,CB-ILD,CB-ILD,0,0,1
72,movies,BIN-DIV,BIN-DIV,1,0,0
73,movies,CF-ILD,CF-ILD,0,1,0
71,movies,CB-ILD,CB-ILD,0,0,1
74,movies,BIN-DIV,BIN-DIV,1,0,0
80,movies,CF-ILD,CF-ILD,0,1,0
79,movies,BIN-DIV,BIN-DIV,1,0,0
82,movies,CB-ILD,CB-ILD,0,0,1
81,movies,BIN-DIV,BIN-DIV,1,0,0
85,movies,CB-ILD,CB-ILD,0,0,1
88,movies,CF-ILD,CF-ILD,0,1,0
87,movies,CB-ILD,CB-ILD,0,0,1
89,movies,BIN-DIV,BIN-DIV,1,0,0
90,movies,CB-ILD,CB-ILD,0,0,1
91,movies,BIN-DIV,BIN-DIV,1,0,0
93,movies,CB-ILD,CB-ILD,0,0,1
94,movies,CB-ILD,CB-ILD,0,0,1
95,movies,CB-ILD,CB-ILD,0,0,1
96,movies,CB-ILD,CB-ILD,0,0,1
98,movies,BIN-DIV,BIN-DIV,1,0,0
99,movies,BIN-DIV,BIN-DIV,1,0,0
102,movies,BIN-DIV,BIN-DIV,1,0,0
100,movies,CB-ILD,CB-ILD,0,0,1
103,movies,BIN-DIV,BIN-DIV,1,0,0
104,movies,CF-ILD,CF-ILD,0,1,0
105,movies,CB-ILD,CB-ILD,0,0,1
108,movies,BIN-DIV,BIN-DIV,1,0,0
106,movies,BIN-DIV,BIN-DIV,1,0,0
109,movies,BIN-DIV,BIN-DIV,1,0,0
111,movies,BIN-DIV,BIN-DIV,1,0,0
113,movies,BIN-DIV,BIN-DIV,1,0,0
114,movies,BIN-DIV,BIN-DIV,1,0,0
115,movies,BIN-DIV,BIN-DIV,1,0,0
116,movies,BIN-DIV,BIN-DIV,1,0,0
118,movies,CB-ILD,CB-ILD,0,0,1
